RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  30    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     4.552E-01  8.630E-01
    1    2     1     0  ---    0  1.2E+00  1.0E+00  1.693E-01  6.960E-01
    2    4     0     0  con    1  5.0E+00  1.3E+00  2.155E-01  6.255E-01
    3    5     0     0  con    0  1.0E+00  4.5E-01  8.507E-02  5.428E-01
    4    6     0     0  con    0  1.0E+00  1.8E-01  7.417E-02  5.207E-01
    5    7     0     0  con    0  1.0E+00  1.8E+00  8.310E-02  3.808E-01
    6    8     0     0  con    0  1.0E+00  1.0E+00  1.347E-01  3.676E-01
    7    9     0     0  con    0  1.0E+00  2.1E-01  8.982E-02  3.441E-01
    8   10     0     0  con    0  1.0E+00  7.2E-01  2.820E-02  3.163E-01
    9   11     0     0  con    0  1.0E+00  1.9E-01  2.429E-02  3.136E-01
   10   12     0     0  con    0  1.0E+00  1.9E-01  3.529E-02  3.104E-01
   11   13     0     0  con    0  1.0E+00  3.8E-01  1.556E-02  3.044E-01
   12   14     0     0  con    0  1.0E+00  5.3E-01  5.573E-03  3.008E-01
   13   15     0     0  con    0  1.0E+00  4.2E-01  9.914E-03  2.994E-01
   14   17     0     0  con    1  3.2E-01  9.4E-01  2.585E-02  2.984E-01
   15   18     0     0  con    0  1.0E+00  1.3E-01  2.198E-02  2.978E-01
   16   19     0     0  con    0  1.0E+00  4.5E-02  1.422E-02  2.974E-01
   17   22     0     0  con    2  1.9E+00  3.5E-01  1.477E-02  2.961E-01
   18   23     0     0  con    0  1.0E+00  4.7E-01  9.160E-03  2.953E-01
   19   24     0     0  con    0  1.0E+00  1.3E+00  5.492E-02  2.947E-01
   20   25     0     0  con    0  1.0E+00  1.4E-01  9.046E-03  2.942E-01
   21   26     0     0  con    0  1.0E+00  2.7E-01  2.754E-02  2.935E-01
   22   27     0     0  con    0  1.0E+00  6.5E-01  1.487E-02  2.925E-01
   23   29     0     0  con    1  5.1E-01  1.2E+00  3.755E-02  2.917E-01
   24   32     0     0  con    2  2.0E+00  2.4E+00  3.055E-01  2.844E-01
   25   37     0     0  con    4  2.3E-03  5.2E-01  4.138E-01  2.835E-01
   26   39     0     0  con    1  1.4E-01  3.2E-01  5.055E-01  2.824E-01
   27   40     0     0  con    0  1.0E+00  4.6E-01  5.047E-01  2.768E-01
   28   41     0     0  con    0  1.0E+00  6.5E-01  4.569E-01  2.651E-01
